	coffee_in_cafe	cost_beer	cost_coworking	cost_expat	cost_nomad	female_friendly	fragile_states_index	free_wifi_available	freedom_score	friendly_to_foreigners	internet_speed	latitude	leisure	lgbt_friendly	life_score	longitude	nightlife	nomadScore	nomad_score	peace_score	place	places_to_work	press_freedom_index	racism	safety	weed
167	4.38	4.38	150.0	1959	2561	1.0	34	0.8	0.6	0.8	29	35.1495343	0.4	0.6	0.82	-90.0489801	0.6	0.75	0.75	0.8	Memphis	0.8	22.49	0.8	0.8	0
168	4.5	4.5	366.0	2286	3076	1.0	34	0.8	0.6	0.8	13	43.6187102	0.4	0.6	0.84	-116.2146068	1.0	0.75	0.75	0.8	Boise	0.8	22.49	0.8	0.8	0
169	2.43	2.43	48.68	1121	2208	0.44	40.7	0.6	0.6	0.6	0	50.0646501	1.0	0.4	0.76	19.9449799	0.6	0.75	0.75	0.8	Kraków	0.8	23.89	0.4	0.64	0
170	1.77	1.77	86.03	1349	2030	0.6	29.2	0.4	0.8	0.8	21	32.6600388	0.6	0.4	0.79	-16.9596901	0.6	0.75	0.75	1	Funchal	0.4	17.27	0.6	0.8	0
171	5.05	5.05	92.52	2166	2105	0.8	35.1	0.6	0.6	0.8	12	33.8712972	0.6	0.6	0.81	130.5759786	0.6	0.75	0.75	0.8	Kitakyushu	0.8	28.67	0.6	1.0	0
172	3.79	3.79	197.02	1746	1883	0.4	81	1.0	0.2	0.4	13	55.755826	1.0	0.2	0.59	37.6173	1.0	0.75	0.75	0.4	Moscow	1.0	49.03	0.6	0.6	0
173	2.58	2.58	132.88	1112	1394	0.4	79.6	0.4	0.2	0.4	5	28.4594965	1.0	0.2	0.68	77.0266383	0.4	0.75	0.75	0.4	Gurgaon	0.8	43.17	0.2	0.6	0
174	5.0	5.0	250.0	2742	2883	0.8	34	0.6	0.6	1.0	38	41.6005448	0.6	0.6	0.83	-93.6091064	0.6	0.75	0.75	0.8	Des Moines	0.4	22.49	0.8	0.8	0
175	5.38	5.38	193.56	2466	2808	0.8	39.8	0.6	0.8	0.8	43	43.2630126	0.6	0.6	0.8	-2.9349852	0.4	0.75	0.75	0.8	Bilbao	0.2	19.92	0.4	0.6	1
176	1.5	1.5	182.5	1019	1516	0.0	41.9	0.4	0.8	1.0	18	-33.4691199	0.4	0.2	0.72	-70.641997	0.4	0.75	0.75	0.8	Santiago	0.8	19.23	0.8	0.6	1
177	4.0	4.0	458.0	5653	3553	0.6	34	0.8	0.6	0.6	0	38.707982	0.6	0.6	0.82	-77.088364	0.6	0.75	0.75	0.8	Mount Vernon	0.8	22.49	0.6	0.8	0
178	5.0	5.0	90.0	1932	2334	1.0	34	0.8	0.6	0.8	13	35.9606384	0.6	0.6	0.81	-83.9207392	0.4	0.75	0.75	0.8	Knoxville	0.4	22.49	0.8	0.8	0
179	0.0	0.0	251.44	909	2695	0.8	DotMap()	0.8	0.6	0.6	25	24.9853699	0.8	0.6	0.85	121.0842928	0.8	0.75	0.75	DotMap()	New Taipei City	0.8	24.37	0.6	0.8	0
180	4.3	4.3	161.3	1463	2128	1.0	28.6	0.0	0.8	0.78	47	51.3396955	0.56	1.0	0.8	12.3730747	0.6	0.74	0.74	1	Leipzig	0.4	14.8	0.8	0.8	0
181	1.35	1.35	87.43	781	1014	0.8	72	0.62	0.6	0.82	10	44.816667	0.8	0.2	0.71	20.466667	1.0	0.74	0.74	0.6	Belgrade	0.8	27.6	0.62	0.8	0
182	5.0	5.0	406.26	2196	3013	0.8	34	0.6	0.6	0.8	80	40.2338438	0.42	0.6	0.84	-111.6585337	0.8	0.74	0.74	0.8	Provo	0.6	22.49	0.8	0.8	0
183	5.0	5.0	79.0	2297	2617	0.0	34	0.0	0.6	0.8	56	41.223	0.4	0.6	0.8	-111.9738304	0.8	0.74	0.74	0.8	Ogden	0.6	22.49	0.8	0.8	0
184	5.0	5.0	300.0	2073	2604	0.8	34	0.6	0.6	0.6	13	39.5296329	0.6	0.6	0.8	-119.8138027	1.0	0.74	0.74	0.8	Reno	0.2	22.49	0.8	0.6	1
185	4.3	4.3	311.84	2081	2687	1.0	28.6	0.2	0.8	0.8	0	51.2277411	0.4	1.0	0.79	6.7734556	0.62	0.74	0.74	1	Dusseldorf	0.8	14.8	0.8	1.0	0
186	1.93	1.93	217.65	1034	1958	0.6	70.4	0.0	0.2	0.8	13	20.6596988	0.6	0.6	0.72	-103.3496092	1.0	0.74	0.74	0.6	Guadalajara	0.4	49.33	0.0	0.24	0
187	4.37	4.37	342.44	2392	3367	1.0	32.4	0.6	0.6	0.8	0	52.486243	0.8	1.0	0.88	-1.890401	0.4	0.74	0.74	0.8	Birmingham	0.8	21.7	1.0	1.0	0
188	5.54	5.54	221.57	2365	3002	0.6	23.8	0.2	0.8	0.8	0	51.0486151	0.6	0.6	0.79	-114.0708459	0.6	0.74	0.74	1	Calgary	0.8	15.26	0.96	0.6	0
189	5.59	5.59	139.0	2408	2243	0.8	34	0.8	0.6	0.6	27	36.7671458	0.8	0.6	0.83	-76.3278513	0.8	0.74	0.74	0.8	Virginia Beach	0.4	22.49	0.6	0.8	0
190	1.89	1.89	132.98	5776	1310	0.6	34	0.8	0.6	0.6	34	42.3027307	0.6	0.6	0.78	-85.2850275	0.6	0.74	0.74	0.8	Battle Creek	0.6	22.49	0.6	0.6	0
191	8.67	8.67	270.94	3970	4850	1.0	21.5	0.2	1	0.8	32	55.6760968	0.6	0.8	0.84	12.5683371	1.0	0.74	0.74	1	Copenhagen	0.8	8.89	0.98	1.0	0
192	8.06	8.06	322.6	2806	3944	0.8	34.5	0.6	0.6	0.64	15	48.856614	0.8	0.82	0.81	2.3522219	1.0	0.74	0.74	0.8	Paris	0.8	23.83	0.8	0.6	0
193	5.0	5.0	125.0	3661	4083	0.8	34	1.0	0.6	1.0	19	34.0522342	1.0	0.8	0.84	-118.2436849	1.0	0.74	0.74	0.8	Los Angeles	1.0	22.49	0.8	0.6	1
194	4.3	4.3	215.07	1680	2181	1.0	28.6	0.4	0.8	0.6	38	49.0068901	0.6	0.6	0.8	8.4036527	0.22	0.74	0.74	1	Karlsruhe	0.4	14.8	0.8	1.0	0
195	7.25	7.25	400.0	3066	4072	0.8	34	0.6	0.6	0.8	9	40.735657	0.8	0.6	0.82	-74.1723667	0.8	0.74	0.74	0.8	Newark	0.8	22.49	0.8	0.75	1
196	4.3	4.3	118.29	1268	2009	1.0	29.2	0.6	0.8	0.8	21	40.2033145	0.6	0.4	0.78	-8.4102573	0.6	0.74	0.74	1	Coimbra	0.4	17.27	0.6	0.6	0
197	7.5	7.5	375.0	5646	4750	0.78	34	1.0	0.6	0.8	27	40.7127837	1.0	0.8	0.83	-74.0059413	1.0	0.74	0.74	0.8	New York City	0.8	22.49	0.8	0.6	1
198	3.49	3.49	268.83	1826	2281	0.8	43.1	1.0	0.6	0.6	19	43.7228386	0.8	0.6	0.75	10.4016888	0.8	0.74	0.74	0.8	Pisa	1.0	28.93	0.4	0.8	0
199	2.96	2.96	215.07	1548	2077	0.8	43.1	1.0	0.6	0.8	13	45.4064349	0.8	0.8	0.76	11.8767611	1.0	0.74	0.74	0.8	Padova	0.4	28.93	0.4	0.8	0
200	4.37	4.37	187.13	2605	3012	0.8	32.4	0.6	0.6	1.0	0	53.8007554	1.0	0.6	0.83	-1.5490774	0.8	0.74	0.74	0.8	Leeds	0.4	21.7	1.0	0.8	0
201	10.03	10.03	551.86	4071	5354	1.0	21.8	1.0	0.8	0.8	37	47.3686498	0.8	0.8	0.86	8.5391825	0.6	0.74	0.74	1	Zurich	0.8	11.76	0.6	1.0	1
202	5.0	5.0	325.0	2257	3168	0.8	34	1.0	0.6	1.0	85	35.0456297	0.4	0.8	0.82	-85.3096801	0.6	0.74	0.74	0.8	Chattanooga	0.4	22.49	0.8	0.8	0
203	2.09	2.09	170.05	1031	1187	0.82	69.6	0.64	0.6	0.64	10	40.183333	0.82	0.42	0.68	44.516667	0.64	0.74	0.74	0.6	Yerevan	0.8	28.79	0.0	0.82	0
