	education	like	username	work	edu_str	cities	countries	followers	following
347	"[""Bachelor's Degree""]"	['Staying up late', 'Cats', 'Dogs', 'Samoyeds', 'Tea', 'Coffee', 'Cocktails', 'Eating meat', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Yoga', 'Spiritual', 'Swimming', 'Cycling', 'Fight sports', 'Reading', 'Gaming', 'Shopping', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Electronic music', 'Writing', 'Photography', 'Film making', 'Cooking', 'Drawing', 'Singing', 'Dancing', 'Partying', 'Progressive politics']	@rpish	['Startup Founder', 'Creative', 'Blogging', 'Community', 'Marketing', 'SaaS', 'Logistics']	Bachelor's Degree	7	6	57	11
348			@rossleedham	['Data', 'Marketing']		2	2	6	3
349			@roks0n			20	11	24	36
350			@rauan			4	2	4	3
351			@quibax			1	1	1	2
352		['Waking up early', 'Cats', 'Dogs', 'Coffee', 'Wine', 'Beer', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Hiking', 'Outdoors', 'Surfing', 'Kitesurfing', 'Cycling', 'Motorcycling', 'Skateboarding', 'Snowboarding', 'Reading', 'Introvert', 'Beach', 'Documentaries', 'Philosophy', 'Movies', 'Electronic music', 'Photography', 'Film making', 'Backpacking']	@ptisunov	['Web Dev', 'Software Dev', 'Mobile Dev', 'Startup Founder', 'SaaS']		37	19	7	14
353			@photojosh			4	3	7	3
354			@petersuhm	['Web Dev']		4	4	29	23
355			@philiprenich	['Web Dev']		2	2	6	5
356		['Photography']	@peachananr	['Startup Founder']		0	0	116	21
357			@pawel_nguyen	['Startup Founder']		1	1	4	6
358			@paola			1	1	5	7
359			@pattycreates			0	0	8	7
360		['Yoga']	@orsi	['Product Manager', 'Community']		0	0	3	4
361			@omfgchris			0	0	2	8
362			@nsbarr			0	0	8	6
363			@nicolasmlv	['Startup Founder']		1	1	8	12
364		['Writing']	@nateliason	['Startup Founder', 'Marketing']		31	19	81	16
365			@namtrok	['Startup Founder']		10	2	11	11
366			@m_p_pfeiffer			0	0	19	12
367			@mwcol			6	4	2	6
368			@mrsergejl	['Software Dev']		13	9	5	6
369			@msarlitt	['Startup Founder', 'Marketing']		1	1	2	4
370			@mrmading	['Software Dev', 'Startup Founder']		13	8	10	28
371			@mohittater	['Startup Founder']		2	1	4	7
372			@moltar	['Startup Founder']		5	4	5	21
373			@mistalaba			14	7	7	5
374		['Waking up early', 'Tea', 'Beer', 'No alcohol', 'Hiking', 'Outdoors', 'Skateboarding', 'Reading', 'Photography', 'Backpacking', 'Vanlife']	@micha	['Web Dev', 'Software Dev', 'Mobile Dev', 'UI/UX Design', 'Startup Founder', 'Creative', 'Data', 'Community']		22	6	27	58
375			@meisterbrendan			1	1	3	3
376			@meiyi_cheng			16	7	5	3
377		['Outdoors', 'Surfing']	@mattdickinson	['Startup Founder', 'Marketing']		0	0	4	5
378			@matthannon			11	7	2	3
379			@havesomegante	['Software Dev']		2	2	11	18
380			@matekovacs	['Mobile Dev']		20	10	16	31
381			@marina_srksn	['Startup Founder']		5	5	2	6
382			@marchenkomark			0	0	6	28
383			@dinomarkio			19	15	1	2
384			@machycek			10	6	14	37
385			@lukekellydesign			1	1	9	15
386		['Outdoors']	@lohawk	['Blogging']		0	0	17	21
387			@logan			11	6	2	1
388			@leifg			11	6	12	9
389			@leannebeesley	['Startup Founder']		0	0	19	18
390			@lailavon			2	1	57	30
391			@itinerantdev			1	1	16	15
392			@kylomclaren			0	0	1	4
393			@kossnocorp			34	18	24	29
394			@kobekoto			19	13	2	4
395			@killthekitten			4	3	3	5
396			@kevinohashi	['Startup Founder']		2	1	13	7
397			@kaurkirikall	['Crypto']		6	5	3	4
398			@kallemoen	['Marketing']		2	1	1	4
399			@kadrian	['UI/UX Design']		0	0	3	4
400			@julienma			54	18	30	10
401			@julienhenzelin	['Software Dev', 'Coach']		18	8	4	6
402			@jro7			7	5	1	11
403		['Coffee', 'Wine', 'Mexican food', 'Outdoors', 'Diving', 'Kitesurfing', 'Motorcycling', 'Sailing', 'Snowboarding', 'Race sports', 'Third Culture Kid', 'Electronic music', 'Writing', 'Photography', 'Film making', 'Centrist politics']	@john	['Software Dev', 'UI/UX Design', 'Startup Founder', 'Product Manager', 'Creative', 'Journalism', 'Blogging', 'Marketing']		65	34	393	24
404			@jimwyuan	['Startup Founder', 'Marketing']		0	0	7	7
405			@jinhoson			0	0	0	2
406			@jimmysinner			7	4	5	7
407			@jimcanto			0	0	12	27
408			@jennjenn			50	21	39	19
409			@jeremygeros			5	5	8	5
410	"[""Master's Degree""]"	['Waking up early', 'Cats', 'Dogs', 'Tea', 'Coffee', 'Wine', 'Beer', 'Drinking alcohol', 'Vegan', 'Vegetarian', 'Pescetarian', 'Korean food', 'Japanese food', 'Mexican food', 'Fitness', 'Hiking', 'Outdoors', 'Spiritual', 'Cycling', 'Football', 'Reading', 'Extrovert', 'Introvert', 'History', 'Documentaries', 'Movies', 'Electronic music', 'Writing', 'Cooking', 'Singing', 'Backpacking', 'Dancing', 'Partying', 'Feminism', 'Progressive politics']	@jeffreytrull	['Software Dev', 'Finance', 'Journalism', 'Blogging', 'Marketing']	Master's Degree	13	7	7	4
411			@jdbb			0	0	1	13
412			@jdcastle4			1	1	1	3
413			@jberthom	['Startup Founder']		0	0	4	4
414			@jaybroni			1	1	4	7
415	['High School']	['Staying up late']	@jb	['Web Dev', 'Software Dev', 'Mobile Dev', 'UI/UX Design', 'Startup Founder', 'Crypto', 'Product Manager', 'Data', 'SaaS']	High School	13	11	12	30
416			@javorszky			1	1	32	19
417			@jarradhope	['Startup Founder']		0	0	25	5
418			@heyellieday			12	5	26	16
419		['Dogs', 'Coffee', 'Crossfit', 'Fitness', 'Outdoors', 'Reading', 'Introvert', 'History', 'Movies']	@hellotiago	['Web Dev', 'UI/UX Design', 'Fitness', 'SaaS']		0	0	14	16
420			@heatherashannon			11	6	4	4
421			@halfdan			3	3	2	3
422			@gonsanchezs			38	8	13	42
423			@gustav			4	3	21	72
424			@gokonrad	['Startup Founder']		0	0	70	31
425			@francescogior	['Web Dev', 'Startup Founder']		1	1	8	11
426			@fuzzy			1	1	0	2
427			@finnious			11	1	9	21
428			@emil			4	2	1	3
429			@efuhj			0	0	1	3
430	['High School']	['Cats', 'Dogs', 'Coffee', 'Beer', 'Drinking alcohol', 'Eating meat', 'Eating fish', 'Japanese food', 'Mexican food', 'Italian food', 'Fitness', 'Running', 'Skateboarding', 'Football', 'Reading', 'Introvert', 'Beach', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Photography', 'Drawing', 'Partying']	@eddgysousa	['Web Dev', 'Software Dev']	High School	8	7	9	10
431			@dully			5	4	2	3
432		['Writing']	@drewmeyers	['Startup Founder', 'Finance']		3	3	27	39
433			@doorenio			7	4	7	11
